 service_id | route_short_name | stop_name |  trip_headsign   | start_next_day | interval_start | end_next_day | interval_end | headway  | day 
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 17:16:25       |            0 | 17:23:25     | 00:07:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 17:23:25       |            0 | 17:31:25     | 00:08:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 17:31:25       |            0 | 17:39:25     | 00:08:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 17:39:25       |            0 | 17:48:25     | 00:09:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 17:48:25       |            0 | 17:56:25     | 00:08:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 17:56:25       |            0 | 18:04:25     | 00:08:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 18:04:25       |            0 | 18:12:25     | 00:08:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 18:12:25       |            0 | 18:21:25     | 00:09:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 18:21:25       |            0 | 18:29:25     | 00:08:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 18:29:25       |            0 | 18:37:25     | 00:08:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 18:37:25       |            0 | 18:46:25     | 00:09:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 18:46:25       |            0 | 18:54:25     | 00:08:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 18:54:25       |            0 | 19:02:25     | 00:08:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 19:02:25       |            0 | 19:11:25     | 00:09:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 19:11:25       |            0 | 19:20:25     | 00:09:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 19:20:25       |            0 | 19:27:25     | 00:07:00 |   0
  236487051 | 8                | DEFACQZ   | HERRMANN-DEBROUX |              0 | 19:27:25       |            0 | 19:35:25     | 00:08:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 19:35:25       |            0 | 19:43:25     | 00:08:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 19:43:25       |            0 | 19:52:25     | 00:09:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 19:52:25       |            0 | 20:02:25     | 00:10:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 20:02:25       |            0 | 20:12:25     | 00:10:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 20:12:25       |            0 | 20:22:25     | 00:10:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 20:22:25       |            0 | 20:37:25     | 00:15:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 20:37:25       |            0 | 20:52:25     | 00:15:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 20:52:25       |            0 | 21:06:25     | 00:14:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 21:06:25       |            0 | 21:21:25     | 00:15:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 21:21:25       |            0 | 21:36:25     | 00:15:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 21:36:25       |            0 | 21:51:25     | 00:15:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 21:51:25       |            0 | 22:06:25     | 00:15:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 22:06:25       |            0 | 22:21:25     | 00:15:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 22:21:25       |            0 | 22:36:25     | 00:15:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 22:36:25       |            0 | 22:51:25     | 00:15:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 22:51:25       |            0 | 23:06:09     | 00:14:44 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 23:06:09       |            0 | 23:21:09     | 00:15:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 23:21:09       |            0 | 23:36:09     | 00:15:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 23:36:09       |            0 | 23:51:09     | 00:15:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              0 | 23:51:09       |            1 | 00:05:09     | 00:14:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              1 | 00:05:09       |            1 | 00:20:09     | 00:15:00 |   0
  236487051 | 8                | DEFACQZ   | ROODEBEEK        |              1 | 00:20:09       |            1 | 00:35:09     | 00:15:00 |   0
  236487051 | 8                | DEFACQZ   | MUSEE DU TRAM    |              1 | 00:35:09       |            1 | 00:50:09     | 00:15:00 |   0
  236487051 | 8                | DEFACQZ   | BUYL             |              1 | 00:50:09       |            1 | 01:05:09     | 00:15:00 |   0
(111 rows)

