LIGEN,VARIANT,FROM,TO,DISTANCE
025t,2,6201F,6202,215.80009062048043
025t,2,6202,6203F,439.2683919688793
025t,2,6203F,3360F,562.1348751022242
025t,2,3360F,6204,519.0579817331959
025t,2,6204,2242F,425.14072415860073
025t,2,2242F,2246F,169.6667559096595
025t,2,2246F,0821,659.0886658018853
025t,2,0821,0811,648.9970315400542
025t,2,0811,0801,734.6354318657495
025t,2,0801,0901,484.48192064292834
025t,2,0901,5312,458.2758116654004
025t,2,5312,5311,485.80531404078465
025t,2,5311,5266F,332.8773497270531
025t,2,5266F,5205,420.7795684357179
025t,2,5205,5200F,580.1973017114742
025t,2,5200F,2397F,351.36333487850607
025t,2,2397F,5407F,461.10140420928474
025t,2,5407F,5413F,420.13228038102534
025t,2,5413F,5414F,479.623221895552
025t,2,5414F,5415F,471.36293699683847
025t,2,5415F,5416F,260.85605407616094
027b,1,1262B,1132,88.50193874713472
027b,1,1132,1133,339.44230900343223
027b,1,1133,1134,575.8698871837388
027b,1,1134,1135,455.1124220520338
027b,1,1135,1136,446.4107518356061
027b,1,1136,2283,737.9078375682991
027b,1,2283,1113,211.18641208758345
027b,1,1113,1139,389.609577465671
027b,1,1139,1140,430.80331416032914
027b,1,1140,1141,407.61178072752045
027b,1,1141,1138,333.08559882484224
027b,1,1138,1522,336.1224003264633
027b,1,1522,3899,268.8103155616982
027b,1,3899,3900,278.1154335913516
027b,1,3900,2430,676.428526265533
027b,1,2430,3920,229.11707750671758
027b,1,3920,3902,355.0564387403165
027b,1,3902,3903,228.44611893916772
027b,1,3903,2429,69.6653850182638
027b,2,2429,3958,108.16229089583909
027b,2,3958,3959,250.27217696388362
027b,2,3959,3962,368.1558917328992
027b,2,3962,2431,291.88727922076964
027b,2,2431,3909,592.1331735279063
027b,2,3909,3910,229.21278586255335
027b,2,3910,3919,295.70349196555503
027b,2,3919,1150,249.99682959740812
027b,2,1150,1152,444.6005456155717
027b,2,1152,1153,398.0979869162834
027b,2,1153,1154,470.53084423322616
027b,2,1154,2287,558.8338605052663
027b,2,2287,1156,576.9802393315795
027b,2,1156,1157,459.4903525872114
027b,2,1157,1158,482.4498284526717
027b,2,1158,1476,366.81015584773013
027b,2,1476,1497B,562.6565861082454
027b,2,1497B,1160,194.79063767680054
027b,2,1160,1162C,298.2861125306863
028b,1,2919,6021,354.4469701264898
028b,1,6021,1403,390.1341901059141
028b,1,1403,1404,302.81977399671393
028b,1,1404,6449,326.1177539964697
028b,1,6449,1406,398.6092616376716
028b,1,1406,1424,440.0389938465971
028b,1,1424,1140,415.6442197006422
028b,1,1140,1141,407.61178072752045
028b,1,1141,1408,321.589184066052
028b,1,1408,6476,279.4916932602573
028b,1,6476,1410,275.18239509178466
028b,1,1410,1421,321.96616089545614
028b,1,1421,1412,206.43342915142966
028b,1,1412,1422,288.2349384239651
028b,1,1422,1423,222.2546317575052
028b,1,1423,1415,241.95220023639195
028b,1,1415,1831,406.79938740340185
028b,1,1831,1830,277.2473840028442
028b,2,1830,1832,144.33952639626352
028b,2,1832,1833B,407.76644212102246
028b,2,1833B,1451,340.4187835137677
028b,2,1451,1450,278.92135670671894
028b,2,1450,1454,246.27751113371255
028b,2,1454,1449,168.93386306315233
028b,2,1449,1456,356.8084359264046
028b,2,1456,6477,185.51586341614984
028b,2,6477,1458,301.2302330536463
028b,2,1458,1152,421.3864334922314
028b,2,1152,1153,398.0979869162834
028b,2,1153,1459,434.45273999825986
028b,2,1459,1460,345.59742938014733
028b,2,1460,6450,448.2003763718544
028b,2,6450,1462,262.9535238594917
028b,2,1462,6055,400.00812137924186
028b,2,6055,6056,331.85720120664155
028b,2,6056,2919,680.8064186480078
029b,1,2594,1820,332.81615325863436
029b,1,1820,2296,454.2717800467699
029b,1,2296,6445,337.4677959188207
029b,1,6445,3072,347.4495317929577
029b,1,3072,3353,182.86813037747038
029b,1,3353,3354,307.48406546133447
029b,1,3354,1508,147.50976599202204
029b,1,1508,1509,327.4427056379923
029b,1,1509,2680,512.282259037629
029b,1,2680,1512,282.6063514262587
029b,1,1512,1513,274.0948865569503
029b,1,1513,1514,272.78277070128115
029b,1,1514,1515,256.6333792395958
029b,1,1515,1516,382.1308741576204
029b,1,1516,6451,232.20815338351895
029b,1,6451,1518,456.291079813991
029b,1,1518,1519,429.4273783851868
029b,1,1519,1520,319.05766831029086
029b,1,1520,1521,191.4778231930677
029b,1,1521,1522,352.79632949914503
029b,1,1522,3899,268.8103155616982
029b,1,3899,1529,325.3412749939471
029b,1,1529,1379,415.5475019573187
029b,1,1379,1540,434.77037692851354
029b,1,1540,1525,356.9222694802502
029b,1,1525,1526,385.8892313162178
029b,1,1526,1527,247.0094463604728
029b,1,1527,1528,354.04007764672133
029b,2,1528,1552,275.2457921042278
029b,2,1552,1553,463.85019918593053
029b,2,1553,1554,296.12511959805875
029b,2,1554,1550,248.56225674703137
029b,2,1550,1385,506.4839387377692
029b,2,1385,1578,445.0835699888137
029b,2,1578,3910,302.62420973319377
029b,2,3910,1557,302.62634759800585
029b,2,1557,1558,308.7958760914912
029b,2,1558,1559,274.5277780662809
029b,2,1559,1560,136.07838473932588
029b,2,1560,1561,423.93706134915874
029b,2,1561,6454,544.5150085691807
029b,2,6454,1563,229.96389227327927
029b,2,1563,3216,252.03150016966538
029b,2,3216,1565,361.50174741837236
029b,2,1565,1566,312.81685861109327
029b,2,1566,1567,294.58810776716746
029b,2,1567,1568,349.07042511227337
029b,2,1568,3219,367.2012921888072
029b,2,3219,1569B,321.5805464465566
029b,2,1569B,1570,234.18565924517952
029b,2,1570,1571,325.91939190199537
029b,2,1571,3358,291.1436637127881
029b,2,3358,3359,314.8678361178827
029b,2,3359,3062,180.60090205905
029b,2,3062,6442,159.00245791752968
029b,2,6442,6447,186.61518568506472
029b,2,6447,2301,471.63692173804156
029b,2,2301,2595,280.79047374113725
029b,2,2595,2594,71.5768371228769
032t,1,5041F,5361F,252.97264034434374
032t,1,5361F,2902,364.18469751000066
032t,1,2902,2903F,305.7463962834089
032t,1,2903F,5872,315.5424372028692
032t,1,5872,5802,578.3401037747701
032t,1,5802,5803G,520.3100141214018
032t,1,5803G,5804G,268.9437029566084
032t,1,5804G,5805,235.81267793808502
032t,1,5805,5710F,542.2773804675599
032t,1,5710F,5711F,402.17451637501335
032t,1,5711F,2876F,332.4837197311972
032t,1,2876F,2726F,442.19810128125573
032t,1,2726F,5714,282.2513060879701
032t,1,5714,0531,640.7357169927736
032t,1,0531,0511,514.4362103215763
032t,1,0511,0501,587.4865275931425
032t,1,0501,0601,497.2570455894538
032t,1,0601,0611,477.39480852437555
032t,1,0611,0621,544.2238596324814
032t,1,0621,0631,533.1231348778683
032t,1,0631,2539F,339.14795655840135
032t,1,2539F,2544F,390.1859087397679
032t,1,2544F,2548F,343.95111417410226
032t,1,2548F,5718,270.8008336319781
032t,1,5718,5123,368.4153721680923
032t,1,5123,5120,458.603373356038
032t,1,5120,5119,268.9005313983125
032t,1,5119,2603,395.08965655134125
032t,1,2603,2604F,195.33515812927544
032t,1,2604F,5121F,276.0655663511825
032t,1,5121F,5719H,257.4832519319316
032t,1,5719H,5720F,467.14228283612647
032t,1,5720F,2608F,555.1898317598807
032t,1,2608F,5721G,175.14387738227197
032t,1,5721G,5722F,276.54766755808123
032t,1,5722F,5723G,307.3306472162403
032t,1,5723G,5724,363.8195877409853
032t,1,5724,5725,314.8821905958612
032t,1,5725,5729,397.38893580250624
032t,1,5729,5726F,219.44309666086883
032t,2,5732F,5751,223.27132286843357
032t,2,5751,5753F,258.31631318649477
032t,2,5753F,5754,445.53217520504785
032t,2,5754,1258G,388.7204627026108
032t,2,1258G,5756F,291.227975645231
032t,2,5756F,2663G,292.4379797365525
032t,2,2663G,2669F,188.4525088140058
032t,2,2669F,2665F,522.0964657832124
032t,2,2665F,5152G,514.834157010579
032t,2,5152G,5161F,126.12342505236984
032t,2,5161F,2667F,339.38020226904837
032t,2,2667F,2668,227.8140581625994
032t,2,2668,5155,376.20551070006695
032t,2,5155,5151,368.78164355837725
032t,2,5151,5159F,468.90823697788437
032t,2,5159F,5757F,281.11174092964484
032t,2,5757F,2672F,380.54442749210375
032t,2,2672F,2670F,238.90140336993045
032t,2,2670F,2671F,371.8212912830668
032t,2,2671F,0636,361.77728815029695
032t,2,0636,0626,520.4684663149328
032t,2,0626,0616,548.3517202949179
032t,2,0616,0606,478.2252711779356
032t,2,0606,0506,493.85107716962557
032t,2,0506,0516,587.7882203854897
032t,2,0516,0526,553.5150966037854
032t,2,0526,5762,698.5693173538602
032t,2,5762,2720F,182.45122265335158
032t,2,2720F,2786F,230.23032283374778
032t,2,2786F,5765F,528.0429126168292
032t,2,5765F,5766,403.0492809967691
032t,2,5766,5865,402.3427536002291
032t,2,5865,5866,337.27606501512855
032t,2,5866,5867F,314.26728925772113
032t,2,5867F,5868,384.881692504503
032t,2,5868,5801,626.0597206115872
032t,2,5801,2900F,346.69359011112465
032t,2,2900F,2901,300.96848282606516
032t,2,2901,5362F,362.5530180873702
032t,2,5362F,5039,290.95075162434296
033b,1,3633C,2212,550.0680364611329
033b,1,2212,2578,428.83565575465377
033b,1,2578,1063,493.92011829521346
033b,1,1063,1127,369.7937074096567
033b,1,1127,1376B,123.23380285726512
033b,1,1376B,1128,260.86089532796905
033b,1,1128,6354B,271.2384575264455
033b,1,6354B,3505,452.36397611397115
033b,1,3505,2177,568.7071934246774
033b,2,2177,3629,316.236220283525
033b,2,3629,6353,199.67976584568532
033b,2,6353,3630,498.9809189650523
033b,2,3630,1781,428.1033562327332
033b,2,1781,2392,302.1729226451273
033b,2,2392,1707,257.1328976633281
033b,2,1707,3320B,276.8122613028761
033b,2,3320B,3221,269.57602406000206
034b,1,1824,6433,221.07010420524222
034b,1,6433,1729,166.63755337752372
034b,1,1729,1233,263.1812849629983
034b,1,1233,1706,519.7560212394376
034b,1,1706,1728,333.09857138080815
034b,1,1728,1733,272.52064330625853
034b,1,1733,1712,434.1963841374602
034b,1,1712,1713,360.06103531408144
034b,1,1713,1714,437.3593567568041
034b,1,1714,1715,288.64892581875984
034b,1,1715,1716,364.10321217785986
034b,1,1716,2291B,460.22783104603104
034b,1,2291B,1718B,297.7215768697706
034b,1,1718B,1719,407.28050377333057
034b,1,1719,1720B,494.0060681571913
034b,1,1720B,1731,301.878556513444
034b,1,1731,2725,279.5284247132904
034b,1,2725,2727,408.7252307771014
034b,1,2727,2728,482.3450020698756
034b,2,2728,2752,361.6849646440267
034b,2,2752,2753,393.35321691222344
034b,2,2753,1751,330.26815300446106
034b,2,1751,1756B,346.42649336799263
034b,2,1756B,1757,339.3113405095521
034b,2,1757,1758B,548.0339941212023
034b,2,1758B,2290B,205.57325175427422
034b,2,2290B,1760,413.46807504821663
034b,2,1760,1779,306.94965963091136
034b,2,1779,1762,424.3178973697809
034b,2,1762,1278,234.8497024651915
034b,2,1278,1764,492.0477111787882
034b,2,1764,1777B,563.5065236968348
034b,2,1777B,1769,352.1560321486222
034b,2,1769,1983,315.5446768323927
034b,2,1983,4367B,258.50882675196044
034b,2,4367B,1776,407.37412311151
034b,2,1776,6432,217.49392443492707
034b,2,6432,4952,439.0162378515424
036b,1,1148C,1802,401.1553260365896
036b,1,1802,1803B,198.5121842055819
036b,1,1803B,1804,317.741064671799
036b,1,1804,1805,501.66688839306187
036b,1,1805,1806,462.5426963690777
036b,1,1806,1807,292.19296403340945
036b,1,1807,6473,254.7134499663748
036b,1,6473,1809,295.0339585493566
036b,1,1809,1810,389.05063061768396
036b,1,1810,1811,437.9774257135505
036b,1,1811,1812,272.99278332388803
036b,1,1812,1813,402.1473085781581
036b,1,1813,1814B,388.9990592823333
036b,1,1814B,1815,503.01738693287643
036b,1,1815,1816,294.98209097217205
036b,1,1816,5287,552.563847663334
036b,1,5287,1818,606.5919866415297
036b,1,1818,1819,394.78364445845364
036b,1,1819,1834,279.61737058931976
036b,1,1834,1821,492.04480446003527
036b,1,1821,1822,501.2946546429821
036b,1,1822,1823,334.10035155368496
036b,1,1823,1825,515.0481632012416
036b,1,1825,1826,593.2522814574004
036b,1,1826,1835,567.7132277569781
036b,1,1835,1252,675.8392932327552
036b,1,1252,1828,234.28922499276086
036b,1,1828,1829,265.9135988337748
036b,1,1829,1830,414.8859656179702
036b,2,1830,1846,508.7052787544295
036b,2,1846,1847,249.0012037060692
036b,2,1847,1302,322.20874261404003
036b,2,1302,1840,451.25072621450613
036b,2,1840,1850,501.7712516162487
036b,2,1850,1851,687.3915858207217
036b,2,1851,1852,510.7477409937601
036b,2,1852,1853,420.3156872818463
036b,2,1853,1854,324.13246767869623
036b,2,1854,1841,495.40022187877867
036b,2,1841,1856,253.52003317206163
036b,2,1856,1857,414.50809972699517
036b,2,1857,5273,579.8280633749373
036b,2,5273,1859,378.6856936556396
036b,2,1859,1860,732.0613177754412
036b,2,1860,1861,331.34881964245506
036b,2,1861,1862,339.21557266818854
036b,2,1862,1863,406.93282917510624
036b,2,1863,1864,250.83865322077963
036b,2,1864,1865,507.6797901477221
036b,2,1865,1866,496.46044276525026
036b,2,1866,6472,244.62954893223286
036b,2,6472,1868,239.16103757101519
036b,2,1868,1869,223.99720235188033
036b,2,1869,1870,621.2605498397297
036b,2,1870,1871B,413.05519447234474
036b,2,1871B,1872B,304.05435052012945
036b,2,1872B,1873,211.8810219942843
036b,2,1873,1416,302.22648496082184
036b,2,1416,1148C,249.40035754479322
037b,1,2957,5810,339.80865468241313
037b,1,5810,5811,266.1046362441173
037b,1,5811,1648,258.13087157427367
037b,1,1648,1649,509.1814456010693
037b,1,1649,1650,453.4811445305372
037b,1,1650,1651,296.8870682118809
037b,1,1651,1943,547.2654373261807
037b,1,1943,1968,382.29495265540345
037b,1,1968,1969,227.54288912552738
037b,1,1969,1251,94.33280311111139
037b,1,1251,4856B,494.11246281803824
037b,1,4856B,4853,410.1928575725715
037b,1,4853,6931B,501.18678982368874
037b,1,6931B,1652,313.98376735201873
037b,1,1652,1736,384.66338102555346
037b,1,1736,2153,435.8156782068254
037b,1,2153,2156,840.1798730046512
037b,1,2156,2157,521.9498363906323
037b,1,2157,2161,467.39882738735196
037b,1,2161,2167,608.3112799919008
037b,1,2167,2168,460.85087095886774
037b,1,2168,1953,438.47078582931863
037b,1,1953,1954,379.5410496170971
037b,2,1628,1944,425.89472370744005
037b,2,1944,1938,487.1891989973953
037b,2,1938,2099,509.3180283584255
037b,2,2099,2112,602.5383967766345
037b,2,2112,2103,506.50152584196303
037b,2,2103,2104,516.0806984978353
037b,2,2104,1630,754.5526835754445
037b,2,1630,1739,439.94759856186056
037b,2,1739,1653,347.0489960945497
037b,2,1653,6956B,346.47793074027595
037b,2,6956B,4804B,490.56877964198975
037b,2,4804B,4857B,416.6623419215657
037b,2,4857B,1250,414.1702006165433
037b,2,1250,1921,273.1061989968466
037b,2,1921,1942,530.2085987163873
037b,2,1942,2355,490.97734696030966
037b,2,2355,1632,455.94088206132074
037b,2,1632,1633,464.67076491716944
037b,2,1633,1636,454.64348255971163
037b,2,1636,5858,264.9463418044834
037b,2,5858,5859,295.28453511577754
037b,2,5859,2934,339.4419036505842
038b,1,6443,3502,277.9214279875652
038b,1,3502,3503,215.68626356932413
038b,1,3503,6433,826.9083822647165
038b,1,6433,1729,166.63755337752423
038b,1,1729,1233,263.181284962998
038b,1,1233,1906,532.4484740228588
038b,1,1906,1909,320.5773365500945
038b,1,1909,1910,257.4803151959454
038b,1,1910,3122,338.8526131145195
038b,1,3122,1903,307.0439001921768
038b,1,1903,1912,268.3896946290188
038b,1,1912,1913,452.4837663416761
038b,1,1913,1914,251.99182705071507
038b,1,1914,1915,232.96425403904868
038b,1,1915,1916,434.4609876589411
038b,1,1916,1917,391.85824254715044
038b,1,1917,1918,352.86656277245584
038b,1,1918,1919,371.16771442655136
038b,1,1919,1920,498.7128481616928
038b,1,1920,1921,378.92416997027885
038b,1,1921,1942,530.2085987163873
038b,1,1942,4076,518.1696650808071
038b,2,4076,1943,673.466116796357
038b,2,1943,1968,382.2949526554029
038b,2,1968,1969,227.5428891255276
038b,2,1969,1970,279.2667818773971
038b,2,1970,1971,473.4752582410906
038b,2,1971,1972,469.83200933062085
038b,2,1972,1973,266.8025582175119
038b,2,1973,5255,411.8623410723385
038b,2,5255,1975,485.6279302957678
038b,2,1975,1976,608.7764094485019
038b,2,1976,1977,248.19570233303875
038b,2,1977,1986,295.3461927612261
038b,2,1986,6112,314.7730356586171
038b,2,6112,1980,274.92113617778523
038b,2,1980,1981,330.48191220563785
038b,2,1981,1983,454.9653549461227
038b,2,1983,4367B,258.50882675196044
038b,2,4367B,1776,407.37412311151
038b,2,1776,6432,217.49392443492707
038b,2,6432,1124,193.03617262185708
038b,2,1124,3567,537.9705977966769
038b,2,3567,3323,499.32810836384397
039t,1,0089,5501,282.48196151239404
039t,1,5501,5502,268.8810993090625
039t,1,5502,5503,507.7756151300198
039t,1,5503,5504,450.5134607449586
039t,1,5504,5281G,543.9170427847723
039t,1,5281G,5507,649.5885523021584
039t,1,5507,5508,446.90485210257384
039t,1,5508,5509,677.7849264150018
039t,1,5509,5510,530.527351397443
039t,1,5510,5512,688.6982657787912
039t,1,5512,6474F,330.19656534764545
039t,1,6474F,5529,435.87334967028255
039t,1,5529,5532,141.28381970952705
039t,1,5532,5515,464.0256276815444
039t,1,5515,5516,441.9556469725012
039t,1,5516,5517,358.23642466849105
039t,1,5517,5518,459.0709859604367
039t,1,5518,5519,689.5519582891257
039t,1,5519,5520F,371.997243519676
039t,2,5528F,5521,375.8589564860229
039t,2,5521,5522,690.3693797734845
039t,2,5522,5523,463.0373295512891
039t,2,5523,5524,355.1307656935767
039t,2,5524,5525,442.08809591363615
039t,2,5525,5533,465.1527097317439
039t,2,5533,5530,141.28334146567704
039t,2,5530,6475F,434.8706584685269
039t,2,6475F,5551,386.2261742101059
039t,2,5551,5553,565.483841824388
039t,2,5553,5554,589.3421384768917
039t,2,5554,5555,679.6306702765605
039t,2,5555,5556,437.5257452183396
039t,2,5556,5273F,724.5439416670888
039t,2,5273F,5559,477.4041339040741
039t,2,5559,5560,529.2245888758753
039t,2,5560,5561F,382.96949640784896
039t,2,5561F,5562,366.68434492928645
039t,2,5562,0089,270.9766177065485
041b,1,4076,1943,673.466116796357
041b,1,1943,1968,382.2949526554029
041b,1,1968,1969,227.5428891255276
041b,1,1969,1970,279.2667818773971
041b,1,1970,2714,500.17719416718705
041b,1,2714,2715,564.9443342720415
041b,1,2715,6440,414.59642865230353
041b,1,6440,2721,216.07678904187242
041b,1,2721,5415,1094.2762133159831
041b,1,5415,5416,260.7823341566982
041b,1,5416,2074,411.00772917783615
041b,1,2074,2076,377.53586309264483
041b,1,2076,2115,249.90026797158498
041b,1,2115,2080,390.6872478186606
041b,1,2080,4310,409.0280041454198
041b,1,4310,4401,294.82303506523385
041b,1,4401,4402,315.0869696221507
041b,1,4402,4403,453.12459996427697
041b,1,4403,4408,232.63313447169276
041b,1,4408,4405,284.7408582587441
041b,1,4405,3549,376.9590406277566
041b,1,3549,6469,258.10470978375633
041b,1,6469,2046,428.91947142014214
041b,1,2046,1723B,273.5941158414862
041b,1,1723B,1724,318.43871507547374
041b,1,1724,1725,218.31909067685956
041b,2,1725,1752,271.79856478523277
041b,2,1752,1753,283.29258354389174
041b,2,1753,1754,311.98896422553594
041b,2,1754,6468,418.10627910716676
041b,2,6468,4407,239.59661952254442
041b,2,4407,4452,467.4028347352544
041b,2,4452,4449,259.4285964685955
041b,2,4449,4454,199.46999374182496
041b,2,4454,4455,368.50340366225964
041b,2,4455,4456,300.3828264861854
041b,2,4456,4358,327.938572721323
041b,2,4358,2079,392.69951117435676
041b,2,2079,2107,410.6818056685088
041b,2,2107,2016,296.8039113984087
041b,2,2016,2018,346.78258323902537
041b,2,2018,5451,387.77609614945413
041b,2,5451,5459,245.60135312309558
041b,2,5459,5458,1076.580905593777
041b,2,5458,6439,176.52850671087344
041b,2,6439,2762,332.22349878719524
041b,2,2762,2763,681.7200849923474
041b,2,2763,1920,516.7004950577839
041b,2,1920,1921,378.92416997027794
041b,2,1921,1942,530.2085987163864
041b,2,1942,4076,518.169665080808
042b,1,2015,2029,350.90882652224457
042b,1,2029,2017,199.84503697157015
042b,1,2017,2025,339.41133873325
042b,1,2025,9851,548.5437658763607
042b,1,9851,2069,645.175145776303
042b,1,2069,2027,188.43472960408462
042b,1,2027,9853,666.5032618590999
042b,1,9853,2028,471.1711111358504
042b,1,2028,1553,409.78040643440954
042b,1,1553,1554,296.12511959805715
042b,1,1554,1550,248.56225674703182
042b,1,1550,1385,506.4839387377697
042b,2,1383,1540,431.83646585284885
042b,2,1540,1525,356.92226948024955
042b,2,1525,1551,337.95224689851204
042b,2,1551,2022,457.5137959316944
042b,2,2022,1043,262.02336573178013
042b,2,1043,2084,389.0517261029581
042b,2,2084,2085,188.3346180552153
042b,2,2085,9876,899.599363162662
042b,2,9876,2071,516.6162363330623
042b,2,2071,2078,433.64474851878276
042b,2,2078,2087,251.26578273597897
042b,2,2087,2015,259.41570284663976
043b,1,4854C,1250,437.772066609649
043b,1,1250,1921,273.1061989968478
043b,1,1921,1942,530.2085987163873
043b,1,1942,2355,490.9773469603083
043b,1,2355,1984B,452.50026944850833
043b,1,1984B,1926B,312.29649795055
043b,1,1926B,2165,450.8348286434848
043b,1,2165,5817,282.8019314178796
043b,1,5817,1929,295.01368503112735
043b,1,1929,1937,457.0711213835443
043b,1,1937,1931,336.44632396921133
043b,1,1931,1932,373.96559532426
043b,1,1932,1933B,238.28848809558622
043b,1,1933B,1939,343.08102895342563
043b,1,1939,1935,368.93788163466706
043b,1,1935,1936,236.55366204966322
043b,1,1936,1944,386.6771704354305
043b,1,1944,1938,487.18919899739467
043b,1,1938,2099,509.3180283584261
043b,1,2099,2112,602.5383967766338
043b,1,2112,2103,506.50152584196076
043b,1,2103,2104,516.0806984978408
043b,1,2104,2116B,733.106305882362
043b,1,2116B,2117B,880.7873096482763
043b,1,2117B,2118B,330.1759310065172
043b,1,2118B,2119,352.5649395103028
043b,1,2119,2120,525.104848549965
043b,1,2120,2136,195.47814408453632
043b,1,2136,2137,352.2767456649872
043b,1,2137,2138B,272.6076379809674
043b,1,2138B,2109B,183.02155121728356
043b,2,2109B,2140,430.9207271666017
043b,2,2140,2142,347.8659133839283
043b,2,2142,2143B,331.55308637122437
043b,2,2143B,2144,313.79099395461367
043b,2,2144,2145,390.0464859299002
043b,2,2145,2146,588.8115567737702
043b,2,2146,2147B,618.034243879953
043b,2,2147B,2156,840.6208920311901
043b,2,2156,2157,521.9498363906328
043b,2,2157,2161,467.39882738735196
043b,2,2161,2167,608.3112799918981
043b,2,2167,2168,460.8508709588741
043b,2,2168,1953,438.47078582931954
043b,2,1953,1954,379.5410496170998
043b,2,1954,1955,249.45932732789788
043b,2,1955,1963,328.72799328099336
043b,2,1963,1957B,344.2631998615252
043b,2,1957B,1958B,206.302661759466
043b,2,1958B,1959,358.42638075918967
043b,2,1959,1965,408.0520953516898
043b,2,1965,1961B,349.90551470935316
043b,2,1961B,1962,274.04452631152344
043b,2,1962,2166,341.0299816569186
043b,2,2166,1964,420.444036816647
043b,2,1964,1985B,356.472064984775
043b,2,1985B,4075,506.7400956459005
043b,2,4075,1943,496.3286393384169
043b,2,1943,1968,382.2949526554039
043b,2,1968,1969,227.54288912552875
043b,2,1969,1251,94.33280311111048
043b,2,1251,4854C,428.73469647359525
044t,1,0089,5501,282.48196151239404
044t,1,5501,5502,268.8810993090625
044t,1,5502,5503,507.7756151300198
044t,1,5503,5504,450.5134607449586
044t,1,5504,5281G,543.9170427847723
044t,1,5281G,5507,649.5885523021584
044t,1,5507,5508,446.90485210257384
044t,1,5508,5601,619.7840221491401
044t,1,5601,5602,462.5669701507177
044t,1,5602,5603,470.5424330347323
044t,1,5603,5604,727.3295878799099
044t,1,5604,5605,710.9973000884156
044t,1,5605,9551,547.1978592290989
044t,1,9551,9553,1323.5794894742767
044t,1,9553,9552,662.8358018896834
044t,1,9552,9556,701.0592015335715
044t,2,9557,9575,758.9589597959908
044t,2,9575,9577,665.0864386923793
044t,2,9577,9578,1297.3496415160569
044t,2,9578,5655,557.301275399022
044t,2,5655,5656,672.338467044834
044t,2,5656,5657,733.8382275825484
044t,2,5657,5658,508.2617720822327
044t,2,5658,5659,463.94277953038545
044t,2,5659,5555,624.7981291964334
044t,2,5555,5556,437.5257452183396
044t,2,5556,5273F,724.5439416670888
044t,2,5273F,5559,477.4041339040741
044t,2,5559,5560,529.2245888758744
044t,2,5560,5561F,382.96949640784806
044t,2,5561F,5562,366.68434492928645
044t,2,5562,0089,270.9766177065485
045b,1,1384,1540,422.2468506770992
045b,1,1540,1525,356.92226948024955
045b,1,1525,1531,397.1240623297924
045b,1,1531,1320,585.9533100791498
045b,1,1320,1533,227.76508365552218
045b,1,1533,1534,890.5965499502886
045b,1,1534,1538B,269.24560235490844
045b,1,1538B,1535,231.95345623723188
045b,1,1535,3402,212.1085984413553
045b,1,3402,3403,508.6741581244901
045b,1,3403,3404,381.29940960463773
045b,1,3404,3424,354.3682933163009
045b,1,3424,3306,278.8188614438277
045b,1,3306,3420,298.03189009570906
045b,1,3420,2982B,552.5264031960487
045b,1,2982B,2900,343.0284218240995
045b,1,2900,2992,222.86496603122123
045b,1,2992,9292,165.4509476796884
045b,2,9292,2909,247.19023592029296
045b,2,2909,2903,242.72579351400387
045b,2,2903,2910,234.2050957098839
045b,2,2910,2924,379.32859925419916
045b,2,2924,3361,393.0717947120427
045b,2,3361,3425,230.80630584169262
045b,2,3425,3458,320.87324914889246
045b,2,3458,3459,594.2098517492063
045b,2,3459,3460,321.553903377348
045b,2,3460,3461,347.56270272654274
045b,2,3461,3462,471.9655807259892
045b,2,3462,3463,869.7645894490024
045b,2,3463,1321,292.44425710597534
045b,2,1321,1553,597.4663776943698
045b,2,1553,1554,296.1251195980567
045b,2,1554,1550,248.56225674703182
045b,2,1550,1385,506.48393873776877
046b,1,1201,1203,510.8291431907003
046b,1,1203,1487,651.2855000722075
046b,1,1487,3752,329.1858635207236
046b,1,3752,3751,448.60155063333286
046b,1,3751,3756,373.4631948752683
046b,1,3756,3755,345.0722374190609
046b,1,3755,2319,464.2453849945646
046b,1,2319,2518,383.35242171924074
046b,1,2518,2256B,549.5667616507135
046b,1,2256B,2257B,403.7735528352705
046b,1,2257B,6858C,179.0728666966843
046b,1,6858C,2259,295.45867820153035
046b,1,2259,2260,419.07831227132283
046b,1,2260,2261,560.0234942159641
046b,1,2261,2262,421.3204076115826
046b,1,2262,2405,286.612779892409
046b,1,2405,2264,398.70862613330974
046b,1,2264,1894,466.43925518004744
046b,1,1894,2267,392.4799389829677
046b,1,2267,2833,471.9492897939099
046b,1,2833,2269,329.4873700056942
046b,1,2269,2587,190.61559035024402
046b,1,2587,1896,741.2005805325425
046b,2,1896,9025,175.12889438746066
046b,2,9025,2209,335.5880679823516
046b,2,2209,2835,220.79690305373305
046b,2,2835,2211,629.5834583402542
046b,2,2211,2303,159.8380261524278
046b,2,2303,2212,331.5867548548904
046b,2,2212,2213,371.8343346122431
046b,2,2213,2403,324.86747719491314
046b,2,2403,2215,364.76383694415244
046b,2,2215,2216,348.8024403093641
046b,2,2216,2217,577.3727837575539
046b,2,2217,2218,433.55447363644225
046b,2,2218,6809,302.71193216470056
046b,2,6809,2220,180.18306466881222
046b,2,2220,2535B,459.14457212404886
046b,2,2535B,2323,250.41104920303587
046b,2,2323,2373,424.13092088743906
046b,2,2373,2375,318.6176691249475
046b,2,2375,3713,537.4813225349062
046b,2,3713,3712,299.9468419073064
046b,2,3712,3718,363.5768699923574
046b,2,3718,3717,455.2240990860191
046b,2,3717,2476,630.7643064852809
