LIGEN,VARIANT,FROM,TO,DISTANCE
003t,2,5771,5772,559.7625767528734
003t,2,5772,5773,479.2316936391053
003t,2,5773,5806,477.3777873615054
003t,2,5806,5776,929.2328878379194
004t,1,0531,0511,514.4362103215749
004t,1,0511,0501,587.4865275931413
004t,1,0501,0601,497.2570455894536
004t,1,0601,0611,477.3948085243758
004t,1,0611,0621,544.2238596324819
004t,1,0621,0702,674.8036854602797
004t,1,0702,0703,556.2347410458024
004t,1,0703,0704,420.62261387394165
004t,1,0704,0705,558.5595084968081
004t,1,0705,0706,607.0753659754182
004t,1,0706,6253,427.7743515818156
004t,1,6253,6423F,544.659068676392
004t,1,6423F,5024,372.87857648866975
004t,1,5024,5025,379.0024016008765
004t,1,5025,5026,399.6175456285373
004t,1,5026,1984G,447.30794567977864
004t,1,1984G,5952F,723.1822509140147
004t,1,5952F,5953F,385.8049474674244
004t,1,5953F,5920H,257.77744035863907
004t,1,5920H,4502F,290.8900830604689
004t,2,4501F,5921G,226.14528296475675
004t,2,5921G,5916F,232.74947165884984
004t,2,5916F,5917F,387.02939296905623
004t,2,5917F,1985G,729.475953470923
004t,2,1985G,5058F,476.7528624471249
004t,2,5058F,5059,469.7314048319695
004t,2,5059,5060,391.7278695761597
004t,2,5060,6424F,412.7527180313955
004t,2,6424F,6209,427.5798346820993
004t,2,6209,0722,576.2284176603043
004t,2,0722,0723,451.92856045784447
004t,2,0723,0724,560.8221796102844
004t,2,0724,0725,404.52345770048305
004t,2,0725,0726,584.6799270937609
004t,2,0726,0626,668.7919617916014
004t,2,0626,0616,548.3517202949179
004t,2,0616,0606,478.22527117793743
004t,2,0606,0506,493.8510771696265
004t,2,0506,0516,587.7882203854897
004t,2,0516,0526,553.5150966037854
005m,1,8642,8652,2097.70309949303
005m,1,8652,8662,639.3481308908067
005m,1,8662,8672,608.5001036254221
005m,1,8672,8682,515.3936717472793
005m,1,8682,8692,561.5890518458191
005m,1,8692,8702,687.1838556722851
005m,1,8702,8712,738.489748689637
005m,1,8712,8722,640.5553433075802
005m,1,8722,8732,882.5318458060065
005m,1,8732,8742,509.07662516509845
005m,1,8742,8292,942.2625090821748
005m,1,8292,8282,602.9109894062185
005m,1,8282,8272,666.0978901623366
005m,1,8272,8012,409.34511269422546
005m,1,8012,8022,601.99679147606
005m,1,8022,8032,343.89550147968293
005m,1,8032,8042,485.3245540151984
005m,1,8042,8052,591.4724682090527
005m,1,8052,8062,314.9321822440361
005m,1,8062,8072,1218.8818464768738
005m,1,8072,8202,764.5373561615706
005m,1,8202,8212,647.8806137740848
005m,1,8212,8222,745.7120100428638
005m,1,8222,8232,313.97038692202295
005m,1,8232,8242,713.5096315208866
005m,1,8242,8252,886.6650051213473
005m,1,8252,8262,539.7440961135981
005m,2,8261,8251,561.1255853139048
005m,2,8251,8241,857.607630142088
005m,2,8241,8231,722.0683687991673
005m,2,8231,8221,335.7171668168612
005m,2,8221,8211,719.6167117151363
